ID_ENDERECO,TIPO_LOGRADOURO,LOGRADOURO,BAIRRO,CIDADE,ESTADO,GEOLOCALIZACAO
1,Travessa,"Campos Teixeira",Centro,Penedo,Alagoas,"POINT(-10.29473 -36.57945)"
2,Avenida,"Antônio Candido Toledo","Santa Luzia",Penedo,Alagoas,"POINT(-10.28231 -36.558)"
3,Avenida,"Beira Rio",Centro,Penedo,Alagoas,"POINT(-10.29559 -36.58207)"
4,Avenida,Brasil,"Raimundo Marinho",Penedo,Alagoas,"POINT(-10.27254 -36.54494)"
5,Avenida,"Duque de Caxias","Centro Histórico",Penedo,Alagoas,"POINT(-10.29494 -36.58232)"
6,Avenida,"Floriano Peixoto","Centro Histórico",Penedo,Alagoas,"POINT(-10.29023 -36.58577)"
7,Avenida,"Getúlio Vargas","Centro Histórico",Penedo,Alagoas,"POINT(-10.2855 -36.57558)"
8,Avenida,Guarany,"Dom Constantino",Penedo,Alagoas,"POINT(-10.27794 -36.55371)"
9,Avenida,Itaporanga,"Dom Constantino",Penedo,Alagoas,"POINT(-10.2864 -36.55607)"
10,Avenida,Marituba,"Dom Constantino",Penedo,Alagoas,"POINT(-10.28648 -36.55674)"
11,Avenida,"Nilo Peçanha","Centro Histórico",Penedo,Alagoas,"POINT(-10.29005 -36.58364)"
13,Avenida,"Ponta Mofina","Dom Constantino",Penedo,Alagoas,"POINT(-10.28683 -36.55876)"
14,Avenida,"São Luiz","Dom Constantino",Penedo,Alagoas,"POINT(-10.28287 -36.55307)"
15,Avenida,"São Vicente",Centro,Penedo,Alagoas,"POINT(-10.28952 -36.57559)"
16,Avenida,"Tabuleiro dos Negros","Dom Constantino",Penedo,Alagoas,"POINT(-10.28645 -36.55789)"
17,Avenida,Wanderley,"Santa Luzia",Penedo,Alagoas,"POINT(-10.28181 -36.56465)"
18,Beco,"da Preguica","Centro Histórico",Penedo,Alagoas,"POINT(-10.28831 -36.58147)"
20,Beco,"do Cavao",Centro,Penedo,Alagoas,"POINT(-10.2885 -36.58067)"
21,Loteamento,"São Judas Tadeu","Santa Luzia",Penedo,Alagoas,"POINT(-10.28268 -36.57135)"
22,Praça,"Alberto Meneses",Centro,Penedo,Alagoas,"POINT(-10.29068 -36.58116)"
23,Praça,"Comendador Peixoto",Centro,Penedo,Alagoas,"POINT(-10.29165 -36.58216)"
24,Praça,"Largo de Fátima","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28321 -36.56879)"
25,Praça,"Santa Cândida","Dom Constantino",Penedo,Alagoas,"POINT(-10.2851 -36.55737)"
26,Praça,"Trinta e um de Março","Santo Antônio",Penedo,Alagoas,"POINT(-10.28437 -36.58376)"
28,Rodovia,"Engenheiro Joaquim Gonçalves","Santa Luzia",Penedo,Alagoas,"POINT(-10.28387 -36.56257)"
29,Rodovia,"Mário Freire Leahy","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29427 -36.57203)"
30,Rua,"15 de Novembro","Santo Antônio",Penedo,Alagoas,"POINT(-10.28381 -36.57353)"
31,Rua,"7 de Setembro","Centro Histórico",Penedo,Alagoas,"POINT(-10.28959 -36.5847)"
33,Rua,"Agobar Canuto","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.2855 -36.56472)"
34,Rua,"Alberto Meneses",Centro,Penedo,Alagoas,"POINT(-10.29026 -36.58117)"
35,Rua,"Aliança Liberal","Santa Luzia",Penedo,Alagoas,"POINT(-10.27885 -36.56504)"
36,Rua,"Alto São João","Santa Luzia",Penedo,Alagoas,"POINT(-10.27967 -36.56803)"
37,Rua,"Antônio Nunes","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29519 -36.5724)"
38,Rua,Arizona,"Dom Constantino",Penedo,Alagoas,"POINT(-10.28857 -36.55358)"
39,Rua,"Aurélio Fidias","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28545 -36.56501)"
